artwork - HAUTEUR,artwork - TITRE,artwork - UNIQUE_KEY,artwork - URL,artwork - IMG_DIRECT_ACCESS,artwork - DISPLAY_DENOMINATION,artwork - DISPLAY_LIEU_CONSERV,artwork - DISPLAY_MATIERE,artwork - DISPLAY_DATE_EXE_TXT,artwork - LARGEUR,artwork - DISPLAY_PERSONNE_AUTEUR,artwork - DISPLAY_TECHNIQUE,artwork - DISPLAY_ROLE_AUTEUR
"0,25",Enfant,135337,https://agorha.inha.fr/inhaprod/ark:/54721/003135337,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0206/FR75_0016_MUS_135337_0099_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre/brèche verte,16e siècle,"0,17",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé,attribué à
"0,98",Génie funéraire éteignant une torche,135468,https://agorha.inha.fr/inhaprod/ark:/54721/003135468,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0125/FR75_0002_MUS_135468_1044_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,16e siècle,"0,32","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,52","François II, comte de la Rochefoucauld, prince de Marsillac, baron de Verteuil (1494-1533) et Anne de Polignac, dame de Randan, sa femme (+ 1554)",135470,https://agorha.inha.fr/inhaprod/ark:/54721/003135470,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0026/FR75_0002_MUS_135470_1118_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,2e quart du 16e siècle - 3e quart du 16e siècle,"1,36","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,74",Saint Paul prêchant à Athènes,135340,https://agorha.inha.fr/inhaprod/ark:/54721/003135340,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0248/elem_0211/FR75_0002_MUS_135340_1205_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,Vers 1588,"0,68",Pilon - Germain - sculpteur - 1525 - 1590 - 1525 - 1590,taillé/doré,attribué à
"0,37",Un génie nu et ailé accroupi sur une coupe portée par une tige,135446,https://agorha.inha.fr/inhaprod/ark:/54721/003135446,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0137/FR75_0002_MUS_135446_1291_low.jpg,pilastre/fragment/bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,1er quart du 16e siècle,"0,27","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
101,"Histoire de Psyché, épisode 15 : L'arrivée des soeurs de Psyché",137361,https://agorha.inha.fr/inhaprod/ark:/54721/003137361,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0214/FR60_0002_MUS_137361_0141_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"1,02",La Prudence,135373,https://agorha.inha.fr/inhaprod/ark:/54721/003135373,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0017/FR75_0002_MUS_135373_1109_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1585,"0,75",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,43",Anne de Montmorency,135375,https://agorha.inha.fr/inhaprod/ark:/54721/003135375,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0111/FR75_0016_MUS_135375_0114_low.jpg,gisant,Département des sculptures du musée du Louvre (Paris),marbre,1576 - 1582,"0,6",Prieur - Barthélemy - sculpteur - Vers 1536 - 1611 - Vers 1536 - 1611,taillé,
"0,76",L'Arrestation du Christ,135454,https://agorha.inha.fr/inhaprod/ark:/54721/003135454,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0010/elem_0017/FR75_0016_MUS_136437_0076_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),pierre,2e quart du 16e siècle - 3e quart du 16e siècle,"0,94","Anonyme, Ile-de-France - sculpteur",taillé/polychrome,
"0,53",L'Ascension,135457,https://agorha.inha.fr/inhaprod/ark:/54721/003135457,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0138/elem_0194/FR75_0016_MUS_135457_0015_low.jpg,bas-relief/fragment,Département des sculptures du musée du Louvre (Paris),pierre,2e quart du 16e siècle - 3e quart du 16e siècle,"0,92","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé/polychrome,
"0,607",Gladiateur mourant,135297,https://agorha.inha.fr/inhaprod/ark:/54721/003135297,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0056/FR75_0002_MUS_135297_0976_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),marbre,1778 - 1779,"0,485",Julien - Pierre - sculpteur - 20 juin 1731 - 17 décembre 1804  (26 Frimaire An 13) - 20 juin 1731 - 17 décembre 1804 (26 Frimaire An 13) - Actif à Paris au XVIIIe siècle,taillé,
,"Philippe Desportes (Chartres, 1546-Bonport, 1606), poète",135294,https://agorha.inha.fr/inhaprod/ark:/54721/003135294,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0054/FR75_0002_MUS_135294_0974_low.jpg,sculpture/médaillon,Département des sculptures du musée du Louvre (Paris),laiton,Après le 3 avril 1607,,Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,fonte,
101,"Histoire de Psyché, épisode 13 : Psyché coiffe ses cheveux",137349,https://agorha.inha.fr/inhaprod/ark:/54721/003137349,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0208/FR60_0002_MUS_137349_0135_low.jpg,verrière,Musée Condé (Chantilly),verre,1542 - 1544,"55,5",Maître au dé - graveur - 16e siècle - Maestro del Dado,vitrail,d'après
"0,5",Console ornée de deux angelots soutenant un écu entouré d'une guirlande,135423,https://agorha.inha.fr/inhaprod/ark:/54721/003135423,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0079/elem_0162/FR75_0002_MUS_135423_1268_low.jpg,haut-relief,Département des sculptures du musée du Louvre (Paris),pierre,1er quart du 16e siècle,"0,65","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"2,085",Partie supérieure d'une fontaine,135421,https://agorha.inha.fr/inhaprod/ark:/54721/003135421,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0122/FR75_0016_MUS_135421_0124_low.jpg,fontaine/fragment,Département des sculptures du musée du Louvre (Paris),marbre/marbre noir/marbre de couleur,1500 - 1510,,Anonyme tourangeau - sculpteur - Vers 1500-1510,taillé,
"1,02",La Prudence,135392,https://agorha.inha.fr/inhaprod/ark:/54721/003135392,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0115/FR75_0016_MUS_135392_0117_low.jpg,bas-relief/médaillon,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1643,"0,75",Sarazin - Jacques - sculpteur/peintre - 1592 - 1660 - 1592 - 1660 - Actif au XVIIe siècle - Sarazin - I - Jacques,taillé,
"1,205",Epitaphe du roi Louis XIII,135395,https://agorha.inha.fr/inhaprod/ark:/54721/003135395,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0069/FR75_0002_MUS_135395_0989_low.jpg,plaque funéraire/inscription,Département des sculptures du musée du Louvre (Paris),marbre blanc,Vers 1643,"0,755",Sarazin - Jacques - sculpteur/peintre - 1592 - 1660 - 1592 - 1660 - Actif au XVIIe siècle - Sarazin - I - Jacques,taillé,
"0,41","Jean d'Alesso, seigneur de Lézeau et d'Éragny (1513-1572), maître ordinaire à la chambre des Comptes",135293,https://agorha.inha.fr/inhaprod/ark:/54721/003135293,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0053/FR75_0002_MUS_135293_0973_low.jpg,buste,Département des sculptures du musée du Louvre (Paris),marbre noir,Après le 4 juillet 1581,"0,47",Jacquet - Mathieu - sculpteur - Vers 1545 - Vers 1611 - Vers 1545 - Vers 1611 - Grenoble - Mathieu Jacquet de,,
"0,285","Soffite portant un décor d'arabesques avec des oiseaux, des masques, une étoile au centre",135402,https://agorha.inha.fr/inhaprod/ark:/54721/003135402,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0237/FR75_0016_MUS_135402_0241_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"1,67",Anonyme italien - sculpteur,taillé,
"1,9",Figure de femme,135532,https://agorha.inha.fr/inhaprod/ark:/54721/003135532,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0133/FR75_0016_MUS_135532_0133_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),bois,1er quart du 17e siècle,"0,68","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"1,9",Figure de femme,135533,https://agorha.inha.fr/inhaprod/ark:/54721/003135533,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0021/elem_0136/FR75_0016_MUS_135533_0136_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),bois,1er quart du 17e siècle,"0,68","Anonyme, Ile-de-France - sculpteur - 17e siècle",taillé,
"0,94","Epitaphe française des frères de Dormans, Jean (mort en 1380), Bernard (mort en 1381) et Renaud de Dormans (mort en 1386)",135620,https://agorha.inha.fr/inhaprod/ark:/54721/003135620,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0069/FR75_0016_MUS_135620_0098_low.jpg,plaque funéraire/épitaphe,Département des sculptures du musée du Louvre (Paris),calcaire,4e quart du 14e siècle,"1,34","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"1,342",Candélabre,135407,https://agorha.inha.fr/inhaprod/ark:/54721/003135407,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0240/FR75_0016_MUS_135407_0254_low.jpg,pilastre/bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,1502 - 1510,"0,185",Anonyme italien - sculpteur,taillé,
"0,595","Dalle funéraire d'André Blondel de Rocquencourt (+ 1558), contrôleur général des Finances",135296,https://agorha.inha.fr/inhaprod/ark:/54721/003135296,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0055/FR75_0002_MUS_135296_0975_low.jpg,dalle funéraire/bas-relief,Département des sculptures du musée du Louvre (Paris),bronze,Après le 13 janvier 1560,,Goujon - Jean - sculpteur/architecte/dessinateur - Vers 1510 - Vers 1564 - Vers 1510 - Vers 1564 - Goujon - Jehan,,
"0,85",Saint Paul sur le chemin de Damas,135307,https://agorha.inha.fr/inhaprod/ark:/54721/003135307,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0009/elem_0129/FR75_0016_MUS_135307_0035_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),calcaire,1542 - 1543,"1,255",Marchand - François - sculpteur - 1551 - 1551 - Actif au XVIe siècle,taillé,
"0,58",Oiseaux et griffons s'entre-dévorant,135576,https://agorha.inha.fr/inhaprod/ark:/54721/003135576,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0038/FR75_0016_MUS_135576_0161_low.jpg,chapiteau,Département des sculptures du musée du Louvre (Paris),calcaire,2e moitié du 12e siècle,"0,6",,taillé,
"0,7",La Vierge et l'Enfant,135598,https://agorha.inha.fr/inhaprod/ark:/54721/003135598,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0098/FR75_0002_MUS_135598_1012_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),calcaire/pierre,4e quart du 15e siècle,"0,24","Anonyme, Ile-de-France - sculpteur - 15e siècle",taillé/polychrome/doré,
"0,93",Sainte Marguerite,135512,https://agorha.inha.fr/inhaprod/ark:/54721/003135512,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0068/FR75_0002_MUS_135512_1160_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),albâtre,1er quart du 16e siècle,"0,45","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
"0,29",Fragment décoré d'un gâble,135604,https://agorha.inha.fr/inhaprod/ark:/54721/003135604,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0242/elem_0078/FR75_0002_MUS_135604_1170_low.jpg,bas-relief,Département des sculptures du musée du Louvre (Paris),marbre,Vers 1376,"0,165","Anonyme, Ile-de-France - sculpteur - 14e siècle",taillé,
"0,475",Pinacle surmonté d'une figure mutilée d'ecclésiastique tenant un livre,135605,https://agorha.inha.fr/inhaprod/ark:/54721/003135605,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0069/elem_0056/FR75_0016_MUS_135605_0231_low.jpg,relief/fragment,Département des sculptures du musée du Louvre (Paris),marbre,1424 - 1429,"0,21",Thury - Pierre de - sculpteur - 1435 - 1435 - Actif au 1er quart du XVe siècle - Pierre de Thury,taillé,
"3,78",Allégorie du passage du Rhin par Louis XIV le 12 juin 1672,135179,https://agorha.inha.fr/inhaprod/ark:/54721/003135179,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0126/FR78_0001_MUS_135179_0137_low.jpg,bas-relief,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre,1715 - 1738,"2,96",Coustou - Nicolas - sculpteur - 8 janvier 1658 - 1er mai 1733 - 8 janvier 1658 - 1er mai 1733 - l'Aîné,taillé,
"1,44","Amador de La Porte (Paris, + 1644), grand prieur de l'ordre de Malte de France et oncle du Cardinal de Richelieu",135222,https://agorha.inha.fr/inhaprod/ark:/54721/003135222,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0241/elem_0222/FR75_0002_MUS_135222_1064_low.jpg,statue/priant,Département des sculptures du musée du Louvre (Paris),marbre,Après 1647,"0,57",Bourdin - Michel - sculpteur - 1609 - 1678 - 1609 - 1678 - II,taillé,
"1,73",Pomone,135211,https://agorha.inha.fr/inhaprod/ark:/54721/003135211,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0158/FR75_0016_MUS_135211_0130_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1706 - 1709,"0,48",Barrois - François - sculpteur - 1656 - 1726 - 1656 - 1726 - Barois - François,taillé,
"1,98","Marie Leszczinska en Junon (Breslau, 1703-Versailles, 1768), reine de France",135227,https://agorha.inha.fr/inhaprod/ark:/54721/003135227,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0068/elem_0167/FR75_0016_MUS_135227_0138_low.jpg,statue,Département des sculptures du musée du Louvre (Paris),marbre,1731,"1,095",Coustou - Guillaume - sculpteur - 25 avril 1677 - 22 février 1746 - 25 avril 1677 - 22 février 1746 - I,taillé,
"1,96","Napoléon Ier, empereur des Français (1769-1821)",135113,https://agorha.inha.fr/inhaprod/ark:/54721/003135113,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0001/FR78_0001_MUS_135113_0101_low.jpg,statue,Musée national des châteaux de Versailles et de Trianon (Versailles),marbre blanc,1805 - 1813,"0,8",Cartellier - Pierre - sculpteur/orfèvre - 22 décembre 1757 - 16 juin 1831 - 22 décembre 1757 - 16 juin 1831 - Cartelier - Pierre,taillé,
"0,223",Chimère ailée regardant vers la droite,135597,https://agorha.inha.fr/inhaprod/ark:/54721/003135597,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0097/FR75_0002_MUS_135597_1011_low.jpg,relief,Département des sculptures du musée du Louvre (Paris),calcaire,1ère moitié du 12e siècle,"0,38","Anonyme, Ile-de-France - sculpteur - 12e siècle",taillé,
1,Les Arts,135874,https://agorha.inha.fr/inhaprod/ark:/54721/003135874,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0104/FR00_0001_135874_0061_low.jpg,verrière,Localisation inconnue,verre/plomb/grisaille sur verre,1600,,Pinaigrier - Nicolas - verrier - 2 décembre 1606 - 2 décembre 1606,vitrail,attribué à
"1,63","Priant du cardinal François de La Rochefoucauld (1558-1645), abbé de Sainte-Geneviève",135875,https://agorha.inha.fr/inhaprod/ark:/54721/003135875,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0022/elem_0146/FR94_0001_HOS_135875_0001_low.jpg,priant,Hôpital (Ivry-sur-Seine),marbre,1656 - 1664,"1,96",De Buyster - Philippe - sculpteur - 1595 - 16 mars 1688 - 1595 - 16 mars 1688 - 17e siècle - Buyster - Philippe de,taillé,
"1,75",Saint Louis,135662,https://agorha.inha.fr/inhaprod/ark:/54721/003135662,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0064/FR94_0002_REL_135662_0004_low.jpg,statue,Eglise Saint-Louis-et-Saint-Nicolas (Choisy-le-Roi),marbre,1729,"0,93",Bousseau - Jacques - sculpteur - 1681 - 1740 - 1681 - 1740,taillé,
"0,622",Archimède,135218,https://agorha.inha.fr/inhaprod/ark:/54721/003135218,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0003/folder_0143/elem_0030/FR75_0002_MUS_135218_0950_low.jpg,statuette,Département des sculptures du musée du Louvre (Paris),marbre,1788,"0,485",Boquet - Simon-Louis - sculpteur - 1743 - 1833 - 1743 - 1833 - Boquet Saint-Simon,taillé,
"0,71","Jean-Baptiste Colbert, contrôleur général des Finances (1619-1683)",135124,https://agorha.inha.fr/inhaprod/ark:/54721/003135124,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0176/elem_0163/FR78_0001_MUS_135124_0174_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,18e siècle,"0,71",Coustou - Nicolas - sculpteur - 8 janvier 1658 - 1er mai 1733 - 8 janvier 1658 - 1er mai 1733 - l'Aîné,moulé,d'après
"0,62","Nicolas Boileau, dit Boileau-Despréaux, écrivain (1636-1711)",135111,https://agorha.inha.fr/inhaprod/ark:/54721/003135111,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0020/elem_0164/FR00_0001_142006_0108_low.jpg,buste,Musée national des châteaux de Versailles et de Trianon (Versailles),plâtre,1785,"0,52",Caffieri - Jean-Jacques - sculpteur/architecte - 29 avril 1725 - 21 juin 1792 - 29 avril 1725 - 21 juin 1792 - 18e siècle,,de
"0,83","Epitaphe de Nicolas Bourgeois (+ 1529) et de Catherine Bocher, sa femme",135042,https://agorha.inha.fr/inhaprod/ark:/54721/003135042,https://agorha.inha.fr/inhaoai/servlet/DocViewerServlet?file=folder_0001/folder_0001/folder_0004/folder_0172/elem_0089/FR75_0007_MUS_135042_0070_low.jpg,plaque funéraire/inscription,"Musée de Cluny, Musée national du Moyen Âge (Paris)",pierre,2e quart du 16e siècle,"0,54","Anonyme, Ile-de-France - sculpteur - 16e siècle",taillé,
